7800 [5.56e-01, 1.11e+00, 6.91e-01, 7.87e-01]
7900 [5.56e-01, 1.11e+00, 6.92e-01, 7.85e-01]
8000 [5.56e-01, 1.11e+00, 6.91e-01, 7.86e-01]
8100 [5.55e-01, 1.11e+00, 6.91e-01, 7.85e-01]
8200 [5.55e-01, 1.11e+00, 6.91e-01, 7.85e-01]
8300 [5.55e-01, 1.11e+00, 6.91e-01, 7.84e-01]
8400 [5.55e-01, 1.11e+00, 6.91e-01, 7.84e-01]
8500 [5.55e-01, 1.11e+00, 6.91e-01, 7.83e-01]
8600 [5.54e-01, 1.11e+00, 6.91e-01, 7.82e-01]
8700 [5.54e-01, 1.11e+00, 6.91e-01, 7.82e-01]
8800 [5.54e-01, 1.11e+00, 6.90e-01, 7.82e-01]
8900 [5.53e-01, 1.11e+00, 6.89e-01, 7.82e-01]
9000 [5.53e-01, 1.11e+00, 6.88e-01, 7.82e-01]
9100 [5.53e-01, 1.11e+00, 6.90e-01, 7.80e-01]
9200 [5.53e-01, 1.11e+00, 6.89e-01, 7.81e-01]
9300 [5.52e-01, 1.11e+00, 6.90e-01, 7.79e-01]
9400 [5.52e-01, 1.11e+00, 6.89e-01, 7.79e-01]
9500 [5.52e-01, 1.11e+00, 6.89e-01, 7.78e-01]
9600 [5.52e-01, 1.11e+00, 6.89e-01, 7.78e-01]
9700 [5.51e-01, 1.11e+00, 6.89e-01, 7.77e-01]
9800 [5.51e-01, 1.11e+00, 6.88e-01, 7.77e-01]
9900 [5.51e-01, 1.10e+00, 6.88e-01, 7.77e-01]
10000 [5.51e-01, 1.10e+00, 6.88e-01, 7.76e-01]
